"{year, month, day, Nxz, Re, r/R, gamma, F(r), Coriolis, shift, mvx, \[Delta]mvx, mvy, \[Delta]mvy, mvz, \[Delta]mvz, Evx, \[Delta]Evx, Evy, \[Delta]Evy, Evz, \[Delta]Evz, m\[Psi], \[Delta]m\[Psi]}, comment"
{2009, 3, 12, 40, 1, 0.25, 0.0001, "dp", 0, -0.0941066842490285, 0.0035116167028099964, 6.e-6, 1.0033991597070302, 5.e-7, 0.0019266376622371208, 2.e-6, 1.7145140460752174e-6, 4.e-9, 0.26080213703451144, 2.2999999999999997e-7, 5.753375247612183e-7, 2.4e-9, 0.0010413485749999978, 0.0004616610999999978, "ErrScale 1e-4"}
{2009, 3, 12, 50, 1, 0.25, 0.0001, "dp", 0, -0.09430267685248334, 0.0035082423201510285, 9.e-6, 1.0034474022523765, 6.5e-8, 0.001921258476733333, 8.e-7, 1.7025727136625448e-6, 6.e-11, 0.2603894367904168, 3.e-8, 5.728385444200001e-7, 6.e-11, 0.001039564399999997, 0.00032959007999999723, "ErrScale 1e-4"}
{2009, 3, 12, 60, 1, 0.25, 0.0001, "dp", 0, -0.09391714007725102, 0.0035094779326659453, 1.3e-6, 1.0031225797966592, 2.e-8, 0.0019196557700999998, 2.e-6, 1.6947517833527998e-6, 6.e-10, 0.26011441529848556, 8.e-9, 5.708221606516667e-7, 3.e-10, 0.0010320729128362979, 0.0002994950007609819, "ErrScale 1e-4"}
{2009, 3, 12, 70, 1, 0.25, 0.0001, "dp", 0, -0.0941415180000455, 0.003508217258053333, 6.e-8, 1.0030898598216214, 5.e-9, 0.0019171228412979547, 4.e-8, 1.6901827067771858e-6, 2.e-11, 0.2599611273531352, 2.e-9, 5.691654054790289e-7, 7.e-12, 0.0010274489384884571, 0.00028955192283772223, "ErrScale 1e-4"}
{2009, 3, 12, 80, 1, 0.25, 0.0001, "dp", 0, -0.09422815671413692, 0.0035079219880433327, 6.e-8, 1.003015208488561, 3.4000000000000003e-9, 0.0019189150391330386, 4.e-8, 1.6878232858462095e-6, 3.e-11, 0.259878101095419, 5.e-10, 5.689198104483332e-7, 2.4999999999999998e-11, 0.0010197428500000017, 0.00027433957500000097, "ErrScale 1e-4"}
{2009, 3, 13, 90, 1, 0.25, 0.0001, "dp", 0, -0.09500984811222464, 0.0035085099167166665, 2.e-8, 1.0029781304505179, 7.e-10, 0.0019173755676520287, 2.e-8, 1.6858612834133318e-6, 1.e-12, 0.25981110488879067, 3.e-10, 5.685602643131285e-7, 2.e-12, 0.0010208792552154995, 0.0002620204798435385, "ErrScale 1e-4"}
{2009, 3, 13, 100, 1, 0.25, 0.0001, "dp", 0, -0.09420042275248747, 0.003507736234859999, 1.e-8, 1.0029393679638947, 2.e-9, 0.001917962399319074, 8.e-9, 1.6842790757991973e-6, 3.e-12, 0.25975262177100916, 7.e-9, 5.67998036834333e-7, 3.e-12, 0.0010170561300000065, 0.0002524641100000079, "ErrScale 1e-4"}
{2009, 3, 12, 110, 1, 0.25, 0.0001, "dp", 0, -0.09397521304740349, 0.0035085095710440015, 5.e-8, 1.0029779032476664, 2.e-7, 0.0019173747392055441, 4.e-8, 1.6858589683257026e-6, 1.e-11, 0.2598109986346992, 8.e-8, 5.685597598750228e-7, 6.e-12, 0.001019150919125998, 0.00024850290571725245, "ErrScale 1e-4"}
{2009, 4, 14, 128, 50, 0.5, 0.0001, "dp", 0, 0.20904269854062194, 0.1474294483988072, 0.00024, 0.7068747352850856, 0.000055, 0.09283355233317574, 0.00024, 0.0035907447673281076, 2.e-6, 0.16932253494131724, 0.00003, 0.0012559622382268979, 2.e-6, 0.049823866014324994, 0.02278299015625003, "ErrScale 1e-4"}
{2009, 4, 14, 128, 50, 0.6, 0.0001, "dp", 0, 0.19172028061707508, 0.15437303659005286, 0.00022000000000000003, 0.664503941819061, 6.e-6, 0.10623410500168906, 0.0004, 0.004006924974784484, 1.e-7, 0.15699840166085022, 3.e-6, 0.0014319631806538312, 6.e-8, 0.05456964879560001, 0.0296078884375, "ErrScale 1e-4"}
{2009, 4, 15, 128, 60, 0.4, 0.0001, "dp", 0, 0.27537906432123177, 0.13657952106678808, 0.00026000000000000003, 0.7134986922036958, 0.00014, 0.08115209929200952, 0.0004, 0.0031829852623221355, 4.e-6, 0.1705674919368859, 0.00008, 0.001101377544369428, 3.e-6, 0.045456843865625, 0.017068817812500015, "ErrScale 1e-4"}
{2009, 4, 15, 128, 60, 0.5, 0.0001, "dp", 0, 0.2645460405049763, 0.14494434061022726, 0.0005, 0.664748451941834, 0.00002, 0.09406130432375905, 0.00025, 0.0036933567620923086, 3.e-6, 0.1570907300896189, 9.e-6, 0.0012994525862102082, 3.e-6, 0.050483415909874985, 0.023143975000000015, "ErrScale 1e-4"}
{2009, 4, 15, 128, 70, 0.3, 0.0001, "dp", 0, 0.3212669945896906, 0.12312791733927414, 0.0009, 0.7374279000870014, 0.00006, 0.068837913987561, 0.0006, 0.0026143270228847645, 0.00001, 0.1760670507130049, 0.00003, 0.0008983774244395823, 0.00001, 0.040091333717424994, 0.011812415937500008, "ErrScale 1e-4"}
{2009, 4, 15, 128, 70, 0.4, 0.0001, "dp", 0, 0.3187360225491195, 0.13390843747106396, 0.0008, 0.6786931320279785, 0.00003, 0.08203062548514688, 0.002, 0.003234958038681139, 5.e-6, 0.16005242567297662, 0.00002, 0.0011263857276723667, 5.e-6, 0.045800679165000004, 0.017249684375000008, "ErrScale 1e-4"}
{2009, 4, 15, 128, 70, 0.5, 0.0001, "dp", 0, 0.30744914836471443, 0.1405174287476432, 0.001, 0.6308228742751215, 0.00002, 0.09464786849210102, 0.003, 0.0036912437924840353, 6.e-6, 0.1471734762925771, 0.00001, 0.0013071889105178876, 6.e-6, 0.05044850191125, 0.023180639062500008, "ErrScale 1e-4"}
{2009, 4, 15, 128, 70, 0.6, 0.0001, "dp", 0, 0.29323961958222217, 0.14339856645437482, 0.0015, 0.5942422489971566, 0.0006, 0.10728586313609227, 0.004, 0.003958122855924812, 0.00005, 0.134713071796423, 0.0004, 0.0014331417156490222, 0.00003, 0.05454637153962501, 0.02970682343750001, "ErrScale 1e-4"}
{2009, 4, 15, 128, 80, 0, 0.0001, "dp", 0, 0, 0., 0, 1.0001038404035831, 0.00004, 0., 0, 0., 0, 0.2619536747479638, 0.000015000000000000002, 0., 0, 0, 0, "ErrScale 1e-4"}
