"{year, month, day, Nxz, Ny, TDV, Re, ksi, chi, r/R, lfi, wall, Rvac, etawall, Rm, m, n, gamma, \[Delta]gamma, omega, \[Delta]omega, kalibr+BC}"
{2015, 6, 21, 32, 32, 0, 0, 0, 0.9, 0.25, 7.391982714328925, 0, 2, 1, 206.2419, 1, 1, 0., 0.0001, 35.01, 0.1, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.9, 0.25, 7.853981633974483, 0, 2, 1, 195.2769, 1, 1, 0., 0.0001, 28.3567, 0.1, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.9, 0.25, 8.377580409572781, 0, 2, 1, 185.13, 1, 1, 0., 0.0001, 22.5645, 0.1, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.9, 0.25, 8.377580409572781, 0, 2, 1, 175.9532, 1, 1, 0., 0.0001, 17.598, 0.01, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.9, 0.25, 9.66643893412244, 0, 2, 1, 168.1226, 1, 1, 0., 0.0001, 13.409, 0.01, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.9, 0.25, 10.471975511965978, 0, 2, 1, 162.173, 1, 1, 0., 0.0005, 9.93552, 0.01, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.9, 0.25, 11.423973285781065, 0, 2, 1, 272, 2, 1, 0., 0.1, 60, 50, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.9, 0.25, 11.423973285781065, 0, 2, 1, 272, 1, 1, 0., 0.1, 9.36, 0.05, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.9, 0.25, 12.566370614359172, 0, 2, 1, 244, 2, 1, 0., 0.02, 60.6, 0.1, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.9, 0.25, 13.962634015954636, 0, 2, 1, 218.0165, 2, 1, 0., 0.001, 42.2, 1, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.9, 0.25, 15.707963267948966, 0, 2, 1, 195.2735, 2, 1, 0., 0.0001, 28.2, 1, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 0.9, 0.25, 17.951958020513104, 0, 2, 1, 175.951, 2, 1, 0., 0.0001, 17.6, 0.1, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1.3, 0.25, 5.711986642890532, 0, 2, 1, 146.3601, 1, 1, 0., 0.0001, 26.216, 0.005, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1.3, 0.25, 5.983986006837701, 0, 2, 1, 141.5159, 1, 1, 0., 0.0001, 22.162, 0.005, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1.3, 0.25, 2*Pi, 0, 2, 1, 137.2989, 1, 1, 0., 0.0001, 18.55, 0.005, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1.3, 0.25, 6.613879270715354, 0, 2, 1, 133.9859, 1, 1, 0., 0.0001, 15.3667, 0.005, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1.3, 0.25, 6.981317007977318, 0, 2, 1, 132.1541, 1, 1, 0., 0.0001, 12.5979, 0.01, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1.3, 0.25, 7.391982714328925, 0, 2, 1, 230, 2, 0.5, 0., 0.02, 14.36, 0.005, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1.3, 0.25, 7.853981633974483, 0, 2, 1, 212.5, 2, 0.5, 0., 0.002, 97, 0.5, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1.3, 0.25, 8.377580409572781, 0, 2, 1, 199.5, 2, 0.5, 0., 0.02, 78, 5, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1.3, 0.25, 8.975979010256552, 0, 2, 1, 191, 2, 0.5, 0., 0.2, 64, 2, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1.3, 0.25, 9.66643893412244, 0, 2, 1, 170.0831, 2, 0.5, 0., 0.0001, 47.5, 0.5, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1.3, 0.25, 10.471975511965978, 0, 2, 1, 157.4368, 2, 0.5, 0., 0.0001, 35.9, 0.5, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1.3, 0.25, 11.423973285781065, 0, 2, 1, 146.3589, 2, 0.5, 0., 0.0001, 26.28, 0.07, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1.4, 0.25, 2*Pi, 0, 2, 1, 270, 2, 0.5, 0., 0.2, 24.55, 0.1, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1.4, 0.25, 6.613879270715354, 0, 2, 1, 238, 2, 0.5, 0., 0.01, 18.14, 0.01, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1.4, 0.25, 6.981317007977318, 0, 2, 1, 216.94, 2, 0.5, 0., 0.01, 13.54, 0.02, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1.4, 0.25, 7.391982714328925, 0, 2, 1, 201.2, 2, 0.5, 0., 0.05, 10.3, 0.05, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1.4, 0.25, 7.853981633974483, 0, 2, 1, 190, 2, 0.5, -0.83, 0.2, 7.5, 0.05, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1.4, 0.25, 7.853981633974483, 0, 2, 1, 190, 2, 0.5, 0., 0.2, 78, 0.5, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1.4, 0.25, 8.377580409572781, 0, 2, 1, 176.17, 2, 0.5, 0., 0.01, 61.9, 0.5, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1.4, 0.25, 8.975979010256552, 0, 2, 1, 163.6, 2, 0.5, 0., 0.01, 48.7, 0.5, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1.4, 0.25, 9.66643893412244, 0, 2, 1, 152.3012, 2, 1, 0., 0.0001, 37.6, 0.5, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1.4, 0.25, 10.471975511965978, 0, 2, 1, 142.4009, 2, 1, 0., 0.0001, 28.27, 0.05, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1.4, 0.25, 11.423973285781065, 0, 2, 1, 134.2754, 2, 1, 0., 0.0001, 20.64, 0.01, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1.4, 0.25, 12.566370614359172, 0, 2, 1, 129.4189, 2, 1, 0., 0.0001, 14.7, 0.5, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1.4, 0.25, 13.962634015954636, 0, 2, 1, 157.7653, 2, 1, 0., 0.001, 11, 0.5, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1.4, 0.25, 15.707963267948966, 0, 2, 1, 142.3911, 3, 1, 0., 0.0001, 28.2462, 0.01, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1.4, 0.25, 17.951958020513104, 0, 2, 1, 131.249, 3, 1, 0., 0.0001, 17.4179, 0.01, "homogen"}
{2015, 6, 21, 32, 32, 0, 0, 0, 1.5, 0.25, 5.711986642890532, 0, 2, 1, 280, 2, 0.5, 0., 0.5, 29.15, 0.1, "homogen"}
